,Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,mean,Total SqKm,Change,Change_Pct
10,Antigua and Barbuda,ATG,Forest area (sq. km),AG.LND.FRST.K2,103.000001907349,102.700004577637,102.39999771118201,102.10000038147,101.800003051758,101.499996185303,101.19999885559099,100.900001525879,100.60000419616699,100.29999732971201,100.0,99.60000038146971,99.2000007629395,98.8000011444092,98.4000015258789,98.00000190734859,98.00000190734859,98.00000190734859,98.00000190734859,98.00000190734859,98.00000190734859,98.00000190734859,98.00000190734859,98.00000190734859,98.00000190734859,98.00000190734859,98.00000190734859,99.57407527499736,440.0,5.000000000000412,0.050213873301777893
11,Australia,AUS,Forest area (sq. km),AG.LND.FRST.K2,1285410.0,1285710.0,1286010.0,1286310.0,1286610.0,1286910.0,1287210.0,1287510.0,1287810.0,1288110.0,1288410.0,1286010.0,1283610.0,1281210.0,1278810.0,1276410.0,1267550.0,1258690.0,1249830.0,1240970.0,1232110.0,1235190.0,1238270.0,1241350.0,1244430.0,1247510.0,1250590.0,1269205.5555555555,7692020.0,34820.0,0.027434484388747116
12,Austria,AUT,Forest area (sq. km),AG.LND.FRST.K2,37760.0,37821.9995117188,37883.9990234375,37946.0009765625,38008.0004882813,38070.0,38131.9995117188,38193.9990234375,38256.0009765625,38318.0004882813,38380.0,38406.0009765625,38431.9995117188,38458.0004882813,38483.9990234375,38510.0,38528.0004882813,38546.0009765625,38563.9990234375,38581.9995117188,38600.0,38618.0004882813,38636.0009765625,38653.9990234375,38671.9995117188,38690.0,38708.0004882813,38365.11112919561,82522.998046875,-948.0004882813009,-0.024709963307258047
13,Azerbaijan,AZE,Forest area (sq. km),AG.LND.FRST.K2,8520.0,8558.0,8557.999877929691,8577.999877929691,8597.999877929691,8617.999877929691,8637.999877929691,8657.999877929691,8677.999877929691,8697.999877929691,8717.999877929691,8728.80004882813,8739.600219726559,8750.399780273441,8761.19995117188,8772.000122070309,9034.199829101559,9296.40014648438,9558.59985351563,9820.800170898441,10082.9998779297,10345.2001953125,10607.399902343801,10869.599609375,11131.800537109399,11394.000244140601,11656.199951171899,9347.007382993348,82670.0,-3136.1999511718986,-0.33552984636324756
14,Burundi,BDI,Forest area (sq. km),AG.LND.FRST.K2,2890.0,2798.99993896484,2707.99987792969,2617.00012207031,2526.0000610351603,2435.0,2343.9999389648397,2253.00003051758,2161.99996948242,2071.0000610351603,1980.0,1946.0000610351601,1911.99996948242,1878.00003051758,1843.9999389648399,1810.0,1953.9999389648399,2098.00003051758,2241.99996948242,2386.0000610351603,2530.0,2576.0000610351603,2622.00012207031,2667.99987792969,2713.9999389648397,2760.0,2806.00006103516,2353.0000022605614,25680.0,83.99993896484011,0.03569908154872085
15,Belgium,BEL,Forest area (sq. km),AG.LND.FRST.K2,6670.0,6670.0,6670.0,6670.0,6670.0,6670.0,6670.0,6670.0,6670.0,6670.0,6672.99987792969,6686.79992675781,6700.59997558594,6714.40002441406,6728.20007324219,6742.00012207031,6755.99975585938,6770.0,6784.00024414063,6797.99987792969,6812.00012207031,6816.40014648438,6820.80017089844,6825.2001953125,6829.60021972656,6834.00024414063,6838.40026855469,6734.422268337674,30280.0,-168.40026855469023,-0.02500589684529215
16,Benin,BEN,Forest area (sq. km),AG.LND.FRST.K2,57610.0,56910.0,56210.0,55510.0,54810.0,54110.0,53410.0,52710.0,52010.0,51310.0,50610.0,50110.0,49610.0,49110.0,48610.0,48110.0,47610.0,47110.0,46610.0,46110.0,45610.0,45110.0,44610.0,44110.0,43610.0,43110.0,42610.0,49517.40740740741,112760.0,15000.0,0.3029237754025894
17,Burkina Faso,BFA,Forest area (sq. km),AG.LND.FRST.K2,68470.0,67871.0009765625,67272.001953125,66672.998046875,66073.9990234375,65475.0,64876.0009765625,64277.001953125,63677.998046875,63078.9990234375,62480.0,61882.001953125,61283.9990234375,60686.0009765625,60087.998046875,59490.0,58890.0,58290.0,57690.0,57090.0,56490.0,55892.001953125,55293.9990234375,54696.0009765625,54097.998046875,53500.0,52902.001953125,60684.703776041664,273600.0,15567.998046875,0.2565390795072357
18,Bangladesh,BGD,Forest area (sq. km),AG.LND.FRST.K2,14940.0,14914.000244140601,14888.0004882813,14861.9995117188,14835.999755859399,14810.0,14784.000244140601,14758.0004882813,14731.9995117188,14705.999755859399,14680.0,14654.000244140601,14628.0004882813,14601.9995117188,14575.999755859399,14550.0,14524.000244140601,14498.0004882813,14471.9995117188,14445.999755859399,14420.0,14394.000244140601,14368.0004882813,14341.9995117188,14315.999755859399,14290.0,14264.000244140601,14602.000009042265,130170.0,675.9997558593986,0.04629501133000869
19,Bulgaria,BGR,Forest area (sq. km),AG.LND.FRST.K2,33270.0,33318.0004882813,33366.0009765625,33413.9990234375,33461.9995117188,33510.0,33558.0004882813,33606.0009765625,33653.9990234375,33701.9995117188,33750.0,34301.9995117188,34853.9990234375,35406.0009765625,35958.0004882813,36510.0,36681.9995117188,36853.9990234375,37026.0009765625,37198.0004882813,37370.0,37541.9995117188,37713.9990234375,37886.0009765625,38058.0004882813,38230.0,38401.9995117188,35503.7777596933,108560.0,-5131.999511718801,-0.14454798434281135
20,Bahrain,BHR,Forest area (sq. km),AG.LND.FRST.K2,2.1999999880790697,2.30000004172325,2.5,2.5999999046325697,2.8000000119209303,2.8999999165535004,3.1000000238418597,3.1999999284744303,3.40000003576279,3.6000001430511497,3.70000004768372,3.8999998569488503,4.00000005960464,4.19999986886978,4.300000071525569,4.49999988079071,4.6000000834465,4.799999892711639,4.90000009536743,5.09999990463257,5.2999997138977095,5.40000021457672,5.600000023841861,5.69999992847443,5.899999737739559,6.00000023841858,6.10000014305115,4.170370361319295,778.000030517578,-3.9000001549720804,-0.9351687780886485
21,"Bahamas, The",BHS,Forest area (sq. km),AG.LND.FRST.K2,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,10010.0,0.0,0.0
22,Bosnia and Herzegovina,BIH,Forest area (sq. km),AG.LND.FRST.K2,22100.0,22050.0,22050.0,22025.0,22000.0,21975.0,21950.0,21925.0,21900.0,21875.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21900.0,51200.0,250.0,0.01141552511415525
